StateName,County,Countyrate,City,Salestaxrate,AlachuaCounty,7%
Alabama,Autauga County,9.50%,Prattville,9.50%,Baker County,7%
Alabama,,,Marbury,6%,Bay County,7%
Alabama,,,Billingsley,6%,Bradford County,7%
Alabama,,,Jones,6%,Brevard County,7%
Alabama,,,Booth,6%,Broward County,7%
Alabama,,,,,Calhoun County,7.50%
Alabama,Baldwin County,10%,Daphne,9.50%,Charlotte County,7%
Alabama,,,Fairhope,8%,Citrus County,6%
Alabama,,,Foley,10%,Clay County,7.50%
Alabama,,,Bay Minette,8.50%,Collier County,7%
Alabama,,,Gulf Shores,10%,Columbia County,7%
Alabama,,,Robertsdale,7%,Desoto County,7.50%
Alabama,,,Spanish Fort,8.50%,Dixie County,7%
Alabama,,,Loxley,8%,Duval County,7.50%
Alabama,,,Orange Beach,10%,Escambia County,7.50%
Alabama,,,Elberta,9%,Flagler County,7%
Alabama,,,Summerdale,7%,Franklin County,7%
Alabama,,,Lillian,7%,Gadsden County,7.50%
Alabama,,,Silverhill,8%,Gilchrist County,7%
Alabama,,,Fairhope,9%,Glades County,7%
Alabama,,,Stapleton,7.75%,Gulf County,7%
Alabama,,,Stockton,7%,Hamilton County,7%
Alabama,,,Perdido,7%,Hardee County,7%
Alabama,,,Magnolia Springs,10%,Hendry County,7%
Alabama,,,Point Clear,8%,Hernando County,6.50%
Alabama,,,Seminole,7%,Highlands County,7.50%
Alabama,,,Montrose,8%,Hillsborough County,7.50%
Alabama,,,Bon Secour,7%,Holmes County,7.50%
Alabama,,,Spanish Fort,9.50%,Indian River County,7%
Alabama,,,Little River,7%,Jackson County,7.50%
Alabama,,,,,Jefferson County,7%
Alabama,Barbour County,9.50%,Eufaula,9.50%,Lafayette County,7%
Alabama,,,Clayton,5.50%,Lake County,7%
Alabama,,,Louisville,5.50%,Lee County,6.50%
Alabama,,,Clio,9.50%,Leon County,7.50%
Alabama,,,,,Levy County,7%
Alabama,,,,,Liberty County,7.50%
Alabama,Bibb County,10%,Centreville,10%,Madison County,7.50%
Alabama,,,West Blocton,8%,Manatee County,7%
Alabama,,,Brent,8%,Marion County,7%
Alabama,,,Woodstock,10%,Martin County,6.50%
Alabama,,,Brierfield,8%,Miami-Dade County,7%
Alabama,,,Randolph,8%,Monroe County,7.50%
Alabama,,,Lawley,8%,Nassau County,7%
Alabama,,,Green Pond,9%,Okaloosa County,7%
Alabama,,,,,Okeechobee County,7%
Alabama,Blount County,10%,Oneonta,10%,Orange County,7%
Alabama,,,Hayden,7%,Osceola County,7.50%
Alabama,,,Blountsville,7%,Palm Beach County,7%
Alabama,,,Remlap,7%,Pasco County,7%
Alabama,,,Cleveland,8%,Pinellas County,7%
Alabama,,,Trafford,7%,Polk County,7%
Alabama,,,Locust Fork,9%,Putnam County,7%
Alabama,,,Allgood,10%,Santa Rosa County,7.50%
Alabama,,,,,Sarasota County,7%
Alabama,Bullock County,6.50%,Union Springs,6.50%,Seminole County,7%
Alabama,,,Midway,6.50%,St Johns County,6.50%
Alabama,,,Fitzpatrick,6.50%,St Lucie County,7%
Alabama,,,,,Sumter County,7%
Alabama,Butler County,7.50%,Greenville,5.50%,Suwannee County,7%
Alabama,,,Georgiana,5.50%,Taylor County,7%
Alabama,,,Mc Kenzie,5.50%,Union County,7%
